,artist_name,album_name,release_year,song_name
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Smells Like Teen Spirit
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",In Bloom
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Come As You Are
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Breed
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Lithium
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Polly
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Territorial Pissings
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Drain You
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Lounge Act
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Stay Away
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",On a Plain
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Something in the Way
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011","Endless, Nameless"
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Even In His Youth
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Aneurysm (B-Side)
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Curmudgeon
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",D-7 - Live At The BBC
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Been A Son [Live at the Paramount]
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Drain You - Live At Paramount Theatre B-Side
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Sliver - Live At Del Mar B-Side
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Polly - Live At Del Mar B-Side
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",In Bloom - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Immodium (Breed) - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Lithium - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Polly - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Pay To Play - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Here She Comes Now - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Dive - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Sappy - Smart Sessions
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Smells Like Teen Spirit - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Verse Chorus Verse - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Territorial Pissings - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Lounge Act - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Come As You Are - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Old Age - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Something In The Way - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",On A Plain - Boombox Rehearsals
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Drain You - Live At The BBC
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Something In The Way - Live At The BBC
0,Nirvana,Nevermind (Deluxe Edition),"September 27, 2011",Aneurysm
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Smells Like Teen Spirit
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",In Bloom
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Come As You Are
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Breed
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Lithium
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Polly
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Territorial Pissings
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Drain You
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Lounge Act
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Stay Away
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",On a Plain
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Something in the Way
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011","Endless, Nameless"
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Even In His Youth
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Aneurysm (B-Side)
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Curmudgeon
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",D-7 - Live At The BBC
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Been a Son [Live at the Paramount Theatre B-Side)
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",School [Live at Paramount  Theatre B-Side)
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Drain You - Live At Paramount Theatre B-Side
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Sliver - Live At Del Mar B-Side
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Polly - Live At Del Mar B-Side
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",In Bloom - Smart Sessions
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Immodium (Breed) - Smart Sessions
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Lithium - Smart Sessions
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Polly - Smart Sessions
0,Nirvana,Nevermind (Super Deluxe Edition),"September 27, 2011",Pay To Play - Smart Sessions
